"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-09","8.95"," 1517"," 1516","0.00",,"20","41","-1",,"  270","  270","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-10","10.96"," 1802"," 1802","0.00",,"12","28","-4",,"  270","  270","21.0","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-11","7.38"," 1414"," 1405","0.13",,"14","31","-3",,"  190","  180","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-12","6.71"," 2114"," 2257","0.15",,"29","42","16",,"   30","  360","14.1","16.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-13","14.99"," 1343"," 1037","0.03",,"10","18","2",,"   30","   20","23.0","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-14","12.30"," 0135"," 0133","0.00",,"6","11","1",,"   40","   50","19.9","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-15","8.50"," 2329"," 2325","0.00",,"10","18","2",,"  190","  180","11.0","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-16","10.74"," 1309"," 1309","0.00",,"29","39","18",,"  250","  240","23.0","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-17","6.93"," 1433"," 1432","0.27",,"23","40","6",,"  110","  120","19.9","28.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-18","17.22"," 2314"," 2313","0.19",,"36","41","30",,"  240","  250","31.1","36.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-19","13.65"," 0154"," 0139","0.00",,"26","32","19",,"  260","  250","30.0","34.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-20","2.46"," 1340"," 0108","0.00",,"25","34","16",,"  150","  260","8.9","11.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-21","8.05"," 2345"," 2344","0.00",,"33","44","21",,"   70","   70","17.0","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-22","8.95"," 0818"," 0825","1.08",,"40","46","34",,"   70","   70","23.9","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-23","11.63"," 2022"," 1936","0.04",,"44","53","35",,"  220","  220","28.0","36.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-24","13.42"," 0754"," 0736","0.08",,"34","36","31",,"  270","  260","23.9","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-25","6.71"," 1413"," 1355","0.15",,"31","34","28",,"  280","  290","17.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-26","6.93"," 0428"," 0211","0.00",,"27","31","22",,"  240","  230","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-27","7.83"," 1928"," 1929","0.00",,"38","50","25",,"  260","  250","25.1","31.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-28","10.29"," 1805"," 1800","0.00",,"35","37","32",,"  280","  280","17.9","21.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-29","5.59"," 1417"," 0337","0.00",,"30","36","24",,"  240","  350","11.0","15.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-30","8.50"," 2201"," 2133","0.00",,"33","44","22",,"   90","   80","17.9","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-01-31","11.63"," 1454"," 1454","0.00",,"32","38","25",,"   80","   80","19.9","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-01","4.70"," 1126"," 1117","0.06",,"32","37","27",,"  140","  130","8.9","11.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-02","10.51"," 1916"," 1913","0.12",,"37","44","29",,"  280","  280","23.9","30.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-03","11.41"," 1218"," 1218","0.02",,"37","43","30",,"  210","  220","21.0","29.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-04","13.65"," 1327"," 1326","0.02",,"31","39","22",,"  280","  280","28.0","34.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-05","6.49"," 2145"," 2144","0.04",,"25","34","16",,"  320","  320","16.1","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-06","7.38"," 1524"," 1516","0.00",,"39","49","28",,"  290","  280","16.1","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-07","9.84"," 1640"," 1640","0.19",,"24","33","14",,"   10","   10","21.9","23.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-08","6.04"," 1557"," 1627","0.00",,"23","34","11",,"  190","  180","19.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-09","11.63"," 1613"," 1808","0.00",,"39","51","27",,"  240","  270","21.9","25.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-10","5.37"," 1638"," 1638","0.00",,"35","47","23",,"  140","  140","11.0","14.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-11","12.53"," 2347"," 2344","0.08",,"50","68","32",,"  240","  240","33.1","40.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-12","19.91"," 0121"," 0120","0.01",,"37","56","18",,"  240","  240","34.0","40.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-13","13.20"," 1022"," 1022","0.00",,"22","31","13",,"  290","  280","25.9","34.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-14","8.28"," 1503"," 1411","0.00",,"24","37","10",,"  220","  190","17.0","21.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-15","9.17"," 1012"," 1015","0.00",,"37","48","25",,"  210","  220","16.1","19.9",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-16","8.50"," 2144"," 2143","0.03",,"39","49","28",,"  270","  280","17.9","25.1",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-17","12.75"," 1309"," 1239","0.00",,"33","37","29",,"  240","  240","19.9","23.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-18","6.49"," 0405"," 0404","0.00",,"29","31","27",,"  320","  320","14.1","17.0",,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","1999-02-19","6.93"," 2013"," 2308","0.00",,"27","30","23",,"  360","   10","13.0","15.0",,,,,
